radius	low	clinical
100	0.3168274	0.11605793
102	0.3165064	0.11573681
104	0.31625915	0.11545087
106	0.31611365	0.11520245
108	0.31610072	0.11500617
110	0.31625822	0.11488314
112	0.3165926	0.11482712
114	0.3171259	0.1148514
116	0.31790066	0.114968754
118	0.3188421	0.115162514
120	0.32001916	0.11545251
122	0.3213525	0.11581266
124	0.32297382	0.11628201
126	0.32469875	0.11680123
128	0.32682824	0.11746828
130	0.3297443	0.11856422
132	0.33214256	0.11945516
134	0.34234694	0.14316326
136	0.38475102	0.22400251
138	0.39545482	0.23951231
140	0.40071663	0.24609688
142	0.4043512	0.25019014
144	0.4070991	0.25299686
146	0.4093155	0.25507554
148	0.4110597	0.25659734
150	0.41256148	0.25782505
152	0.41381338	0.2588009
154	0.41495436	0.2596591
156	0.4159504	0.26036867
158	0.41681975	0.260975
160	0.41759622	0.26150164
162	0.41824254	0.26193443
164	0.41878143	0.2622865
166	0.4193064	0.262631
168	0.41973883	0.26290178
170	0.4200949	0.26311088
172	0.42036998	0.26327753
174	0.42059118	0.2634089
176	0.420715	0.26347268
178	0.42081556	0.26351336
180	0.420862	0.26352775
182	0.42086813	0.2635292
