radius	low	clinical
70	0.3329962	0.786979
72	0.3328261	0.7868483
74	0.332715	0.7867328
76	0.33270133	0.78664434
78	0.33279148	0.7865846
80	0.33298385	0.78655356
82	0.3332895	0.78655547
84	0.33374777	0.7866056
86	0.334394	0.7867237
88	0.33520597	0.786898
90	0.33617023	0.78712595
92	0.3372784	0.787366
94	0.3383008	0.7870576
96	0.3390014	0.78571606
98	0.33936685	0.7834475
100	0.3395153	0.7807362
102	0.33950368	0.77791697
104	0.33934498	0.7750778
106	0.33908415	0.7722441
108	0.3387342	0.76940745
110	0.33828905	0.7665458
112	0.33775333	0.76361555
114	0.337173	0.7606181
116	0.33658928	0.7575717
118	0.33599454	0.75442535
120	0.33537614	0.75117993
122	0.3347274	0.74779224
124	0.33446068	0.7468573
126	0.33446068	0.7468573
128	0.33446068	0.7468573
