radius	low	clinical
100	0.28752112	0.10138202
102	0.28745645	0.10128932
104	0.28744766	0.10122549
106	0.28752246	0.10119648
108	0.2877012	0.10120744
110	0.28800616	0.10126929
112	0.28845608	0.101389036
114	0.2890621	0.101569794
116	0.2898612	0.101828195
118	0.29078785	0.10214139
120	0.29190978	0.102539875
122	0.2931541	0.10299186
124	0.2946401	0.10353907
126	0.29622132	0.10412791
128	0.29827204	0.10496404
130	0.3008491	0.10617372
132	0.30295172	0.107154675
134	0.31131497	0.1304567
136	0.34338075	0.20442298
138	0.350793	0.21746285
140	0.35420868	0.22268638
142	0.35648343	0.22580007
144	0.35816225	0.22785641
146	0.3594947	0.22932951
148	0.36053246	0.23037727
150	0.36142182	0.23120266
152	0.36216092	0.23184693
154	0.36283404	0.23240614
156	0.36342317	0.23286152
158	0.36394253	0.23325315
160	0.36441082	0.23359424
162	0.36479983	0.23387262
164	0.36512518	0.23409817
166	0.36544174	0.23431866
168	0.36570704	0.23449375
170	0.36592323	0.23462315
172	0.36609426	0.23473193
174	0.3662339	0.23481931
176	0.3663134	0.23486109
178	0.36637852	0.2348859
180	0.36640924	0.23489393
182	0.36641338	0.23489478
